,Default Arguments,Optuna,Hyperopt,iOpt
Breast Cancer,0.909446776047241,0.9088754143248066,0.9229071143910439,0.9229071143910439
Digits,0.9631013711481646,0.9733191466060719,0.9727858191980815,0.9733191466060719
CNAE-9,0.9214297026361014,0.9455647521495179,0.9426561361837484,0.9455647521495179
Statlog Segmentation,0.8590085732898782,0.9666728851184837,0.9666728851184837,0.9653295392969371
