,Default Arguments,Optuna,Hyperopt,iOpt
Breast Cancer,0.9594960949401135,0.9681971815969254,0.9700331489809176,0.9665264042320226
Digits,0.9375083263900604,0.9416954532098339,0.9430209687263673,0.9401861257429355
CNAE-9,0.9256729502373726,0.9152344416187287,0.9152874799789121,0.9106750824043782
Statlog Segmentation,0.9766482513264563,0.9796859091077421,0.9797625616864682,0.9792082998488982
